id,idade,genero,cor_raca_etnia,pcd,vive_no_brasil,estado_onde_mora,uf_onde_mora,regiao_onde_mora,regiao_de_origem,nivel_ensino,area_de_formacao,situacao_atual_de_trabalho,setor,gestor,cargo_como_gestor,cargo_atual,nivel_senioridade,faixa_salarial,anos_experiencia_na_area_dados,anos_experiencia_anterior_ti,linguagens_no_trabalho,linguagem_preferida,bancos_de_dados_no_trabalho,cloud_no_trabalho,cloud_preferida
yk1phc7gtywhi679yk1ph4qsn1lf1tfi,34,Masculino,Branca,Não,TRUE,Minas Gerais (MG),MG,Sudeste,,Graduação/Bacharelado,Outra opção,Empreendedor ou Empregado (CNPJ),Setor Alimentício,TRUE,"Sócio ou C-level (CEO, CDO, CIO, CTO etc)",,,de R$ 8.001/mês a R$ 12.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,,,
yjv1bju71qih1d7tvt33yjv1bblwrc0n,42,Masculino,Branca,Não,TRUE,Santa Catarina (SC),SC,Sul,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,FALSE,,Analytics Engineer,Pleno,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Mais de 10 anos,"Python, SQL",Python,"MySQL, SAP HANA, PostgreSQL, SQL SERVER, MongoDB, Google BigQuery",Google Cloud (GCP),Não sei opinar
yjsb2rjm77dbmychoyjsbqfp0mgzgimq,21,Masculino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Freelancer,Marketing,FALSE,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",Python,"Amazon Aurora ou RDS, S3, MongoDB, PostgreSQL",Amazon Web Services (AWS),Amazon Web Services (AWS)
yjbpxmkqz5yidh5oszyjbpxmkgcb1zd9,32,Masculino,Amarela,Não,TRUE,Rio de Janeiro (RJ),RJ,Sudeste,,Graduação/Bacharelado,Outras Engenharias,"Desempregado, buscando recolocação",,,,,,,,,,,,,
yjatqkqx95gyjatjnxy5xfgsprt5ae5o,36,Masculino,Branca,Não,TRUE,Espírito Santo (ES),ES,Sudeste,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,TRUE,Gerente/Head,,,de R$ 20.001/mês a R$ 25.000/mês,de 4 a 6 anos,Mais de 10 anos,,,,,
yiykueqdqi8h83yiyi0nr9ofkux94mii,39,Masculino,Branca,Não,TRUE,Espírito Santo (ES),ES,Sudeste,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Internet/Ecommerce,FALSE,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 6 anos,Mais de 10 anos,"SQL, Python",Python,"PostgreSQL, Oracle, MySQL, S3",Amazon Web Services (AWS),Amazon Web Services (AWS)
yis0kfdl7y0ifmab32yis0kfd2ned7e0,41,Masculino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Internet/Ecommerce,TRUE,Supervisor/Coordenador,,,de R$ 20.001/mês a R$ 25.000/mês,de 1 a 2 anos,Mais de 10 anos,,,,,
yii53nlxg2uj01j21sxyiywfxerapgd7,31,Feminino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,,Doutorado ou Phd,Outra opção,Empregado (CLT),Educação,FALSE,,Outra Opção,Pleno,de R$ 4.001/mês a R$ 6.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Não utilizo nenhuma das linguagens listadas,R,Não utilizo.,Não utilizo.,Não sei opinar
yi0h37ltudanjrj2nyi0h0pqdlppj4bz,35,Masculino,Branca,Não,TRUE,Distrito Federal (DF),DF,Centro-oeste,,Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças/ Negócios,Trabalho na área Acadêmica/Pesquisador,,,,,,,,,,,,,
yhq7af9wgx2btwonf0avoyhq7af9dhdx,29,Masculino,Preta,Não,TRUE,Paraná (PR),PR,Sul,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Finanças ou Bancos,FALSE,,Analista de Dados/Data Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 4 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",Python,"Google BigQuery, Google Firestore",Google Cloud (GCP),Google Cloud (GCP)
yhmnglss2pppippyhmnnlc3o7e0kwq7b,26,Feminino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Área da Saúde,FALSE,,Cientista de Dados/Data Scientist,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Menos de 1 ano,"SQL, Python",Python,"PostgreSQL, Google BigQuery, Databricks",Google Cloud (GCP),Google Cloud (GCP)
yhm32xlcu97179xyhgg726uwqov8b4yh,24,Masculino,Preta,Não,TRUE,São Paulo (SP),SP,Sudeste,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Outra Opção,FALSE,,Outra Opção,Júnior,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,Menos de 1 ano,"SQL, Python, Visual Basic/VBA",Python,MySQL,Amazon Web Services (AWS),Amazon Web Services (AWS)
yhh9aixo6a88lp7z8732fpvyhh9am2se,29,Masculino,Parda,Não,TRUE,Alagoas (AL),AL,Nordeste,Sudeste,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Finanças ou Bancos,FALSE,,Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,de 1 a 2 anos,SQL,SQL,"SQL SERVER, DB2",Azure (Microsoft),Google Cloud (GCP)
yhfntthpl95xyc1iapyhfntth0vauh36,21,Masculino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Tecnologia/Fábrica de Software,FALSE,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Menos de 1 ano,"Python, SQL",Python,"Amazon Redshift, Amazon Aurora ou RDS, S3",Amazon Web Services (AWS),Amazon Web Services (AWS)
yh6m3pvg4gli810wmfyh6m3p9u64ecpw,33,Masculino,Branca,Não,TRUE,Paraná (PR),PR,Sul,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,TRUE,Gerente/Head,,,de R$ 20.001/mês a R$ 25.000/mês,de 4 a 6 anos,Mais de 10 anos,,,,,
ygasofyqpf37sjygasoojuuc7sj3noyb,29,Feminino,Parda,Não,TRUE,Minas Gerais (MG),MG,Sudeste,,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Finanças ou Bancos,FALSE,,Analista de Dados/Data Analyst,Pleno,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Menos de 1 ano,"SQL, Python",Python,"DB2, SQL SERVER",Servidores On Premise/Não utilizamos Cloud,Amazon Web Services (AWS)
yfno06lp7jw5xyfno7ccmnlfqoxqi3d7,30,Masculino,Branca,Não,TRUE,São Paulo (SP),SP,Sudeste,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor Alimentício,FALSE,,Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Mais de 10 anos,SQL,Python,"SAP HANA, Snowflake",Azure (Microsoft),Amazon Web Services (AWS)
yesaban3eb6xojot26nkayesaba5gx1t,32,Masculino,Branca,Não,FALSE,,,,,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Vivo fora do Brasil e trabalho para empresa de fora do Brasil,Varejo,FALSE,,Analista de Dados/Data Analyst,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,de 7 a 10 anos,"SQL, R",R,"Microsoft Access, Oracle, SQL SERVER","Cloud Própria, Azure (Microsoft)",Google Cloud (GCP)
yerhxa3s5ks8sic97uyerhxi6jym3ns8,26,Masculino,Branca,Não,TRUE,Goiás (GO),GO,Centro-oeste,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,FALSE,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,de 1 a 2 anos,"SQL, Python",Python,"PostgreSQL, SQL SERVER, Databricks",Azure (Microsoft),Não sei opinar
yemqeibuic8ckvb7u8ju0yemqe5864fo,34,Feminino,Parda,Não,TRUE,São Paulo (SP),SP,Sudeste,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Seguros ou Previdência,FALSE,,Product Manager/ Product Owner (PM/APM/DPM/GPM/PO),Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 6 anos,Mais de 10 anos,"SQL, Python",Python,Google BigQuery,Google Cloud (GCP),Não sei opinar
yekjld5pmnoaetoag0yekjyue3ivweib,34,Feminino,Parda,Não,TRUE,Rio Grande do Sul (RS),RS,Sul,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Varejo,FALSE,,Outra Opção,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,de 3 a 4 anos,Não utilizo nenhuma das linguagens listadas,Python,Google BigQuery,Cloud Própria,Google Cloud (GCP)
yec0fzc948zxhbu14on6yec0fmhp5ye7,20,Masculino,Branca,Não,TRUE,Minas Gerais (MG),MG,Sudeste,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Finanças ou Bancos,FALSE,,Cientista de Dados/Data Scientist,Júnior,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,de 1 a 2 anos,"SQL, Python",Python,Databricks,Azure (Microsoft),Não sei opinar
